25000000
5000000
2500000
500000
250000
50000
25000
10000
a35000000
30000000
3500000
3000000
350000
300000
35000
60000
a10
10
10
10
10
5
5
5
a3000
3000
1000
300
300
30
30
30
a

Mar. 26 2024
'15:32:10
HF loop TM8
801 Pts
 
 
inside mumetal shield
*
*
external supply
*
Hz	V /sqrt(Hz)
33618750	1.556013E-07
33662500	1.717942E-07
33706250	1.444038E-07
33750000	1.451956E-07
33793750	1.609353E-07
33837500	1.402797E-07
33881250	1.609289E-07
33925000	1.18707E-07
33968750	1.461734E-07
34012500	1.449811E-07
34056250	1.741939E-07
34100000	1.377815E-07
34143750	1.597517E-07
34187500	1.549461E-07
34231250	1.761797E-07
34275000	2.009144E-07
34318750	1.302647E-07
34362500	1.65087E-07
34406250	1.040471E-07
34450000	1.788007E-07
34493750	1.580322E-07
34537500	1.954046E-07
34581250	1.884514E-07
34625000	1.364513E-07
34668750	1.819611E-07
34712500	1.532829E-07
34756250	1.488011E-07
34800000	1.481489E-07
34843750	1.259533E-07
34887500	1.545199E-07
34931250	1.512282E-07
34975000	1.231181E-07
35018750	1.399925E-07
35062500	1.452593E-07
35106250	1.418334E-07
35150000	9.968075E-08
35193750	1.532976E-07
35237500	1.448712E-07
35281250	1.556164E-07
35325000	1.572687E-07
35368750	9.293674E-08
35412500	1.643479E-07
35456250	1.348966E-07
35500000	1.158254E-07
35543750	1.3627E-07
35587500	1.506286E-07
35631250	1.172429E-07
35675000	1.581813E-07
35718750	1.396353E-07
35762500	1.233736E-07
35806250	1.286238E-07
35850000	1.467271E-07
35893750	1.420984E-07
35937500	1.43666E-07
35981250	1.644024E-07
36025000	1.441321E-07
36068750	1.323072E-07
36112500	1.563058E-07
36156250	1.588948E-07
36200000	1.228716E-07
36243750	1.379821E-07
36287500	1.655599E-07
36331250	1.351509E-07
36375000	1.33874E-07
36418750	1.851057E-07
36462500	1.114346E-07
36506250	1.342849E-07
36550000	1.450822E-07
36593750	1.613422E-07
36637500	1.180801E-07
36681250	1.709177E-07
36725000	1.334858E-07
36768750	1.485915E-07
36812500	1.380689E-07
36856250	1.384454E-07
36900000	1.230863E-07
36943750	1.605374E-07
36987500	1.939027E-07
37031250	1.734933E-07
37075000	1.958978E-07
37118750	2.096878E-07
37162500	1.511236E-07
37206250	1.714943E-07
37250000	1.051299E-07
37293750	1.358419E-07
37337500	1.431331E-07
37381250	1.510228E-07
37425000	1.199164E-07
37468750	1.318718E-07
37512500	1.081252E-07
37556250	1.159757E-07
37600000	1.284567E-07
37643750	1.402404E-07
37687500	1.231871E-07
37731250	1.315024E-07
37775000	2.053843E-07
37818750	8.919949E-08
37862500	1.465331E-07
37906250	1.758236E-07
37950000	1.143815E-07
37993750	1.127808E-07
38037500	1.678626E-07
38081250	1.561072E-06
38125000	1.334944E-07
38168750	1.170497E-07
38212500	1.304883E-07
38256250	1.576631E-07
38300000	1.145628E-07
38343750	1.586896E-07
38387500	1.524609E-07
38431250	1.230892E-07
38475000	1.43069E-07
38518750	1.00834E-07
38562500	1.250264E-07
38606250	1.337237E-07
38650000	1.220575E-07
38693750	1.206718E-07
