f, gain
2.69836e+07,-11.9595
2.7046e+07,-11.9268
2.71084e+07,-11.8557
2.71708e+07,-11.8098
2.72331e+07,-11.7531
2.72955e+07,-11.6745
2.73579e+07,-11.6439
2.74202e+07,-11.5996
2.74826e+07,-11.5501
2.7545e+07,-11.4999
2.76074e+07,-11.4314
2.76698e+07,-11.3961
2.77321e+07,-11.3298
2.77945e+07,-11.2832
2.78569e+07,-11.2203
2.79192e+07,-11.1844
2.79816e+07,-11.12
2.8044e+07,-11.0726
2.81064e+07,-11.0197
2.81688e+07,-10.9764
2.82311e+07,-10.9209
2.82935e+07,-10.8856
2.83559e+07,-10.8265
2.84182e+07,-10.7706
2.84806e+07,-10.7017
2.8543e+07,-10.6691
2.86054e+07,-10.6303
2.86678e+07,-10.5741
2.87301e+07,-10.5218
2.87925e+07,-10.4674
2.88549e+07,-10.435
2.89172e+07,-10.3901
2.89796e+07,-10.3408
2.9042e+07,-10.2993
2.91044e+07,-10.2689
2.91668e+07,-10.2182
2.92291e+07,-10.1794
2.92915e+07,-10.156
2.93539e+07,-10.109
2.94162e+07,-10.0916
2.94786e+07,-10.0447
2.9541e+07,-10.0133
2.96034e+07,-9.96418
2.96658e+07,-9.9352
2.97281e+07,-9.89136
2.97905e+07,-9.88076
2.98529e+07,-9.84868
2.99152e+07,-9.81635
2.99776e+07,-9.8023
3.004e+07,-9.78596
3.01024e+07,-9.76295
3.01648e+07,-9.73929
3.02271e+07,-9.7352
3.02895e+07,-9.69865
3.03519e+07,-9.68803
3.04142e+07,-9.67618
3.04766e+07,-9.66635
3.0539e+07,-9.6595
3.06014e+07,-9.64969
3.06638e+07,-9.64903
3.07261e+07,-9.64951
3.07885e+07,-9.64145
3.08509e+07,-9.63801
3.09132e+07,-9.64839
3.09756e+07,-9.64834
3.1038e+07,-9.65831
3.11004e+07,-9.67544
3.11628e+07,-9.68125
3.12251e+07,-9.69685
3.12875e+07,-9.70958
3.13499e+07,-9.73289
3.14122e+07,-9.74102
3.14746e+07,-9.76096
3.1537e+07,-9.7866
3.15994e+07,-9.83053
3.16618e+07,-9.85327
3.17241e+07,-9.8758
3.17865e+07,-9.90294
3.18489e+07,-9.93469
3.19112e+07,-9.98988
3.19736e+07,-10.0043
3.2036e+07,-10.0594
3.20984e+07,-10.0917
3.21608e+07,-10.1328
3.22231e+07,-10.1783
3.22855e+07,-10.2264
3.23479e+07,-10.2564
3.24102e+07,-10.3
3.24726e+07,-10.3552
3.2535e+07,-10.408
3.25974e+07,-10.4591
3.26598e+07,-10.5119
3.27221e+07,-10.5717
3.27845e+07,-10.6432
3.28469e+07,-10.6896
3.29092e+07,-10.747
3.29716e+07,-10.8176
3.3034e+07,-10.8608
3.30964e+07,-10.9491
3.31588e+07,-10.9957
3.32211e+07,-11.0544
3.32835e+07,-11.1204
3.33459e+07,-11.2034
3.34082e+07,-11.2707
3.34706e+07,-11.3363
3.3533e+07,-11.3744
3.35954e+07,-11.4836
3.36578e+07,-11.5278
3.37201e+07,-11.624
3.37825e+07,-11.6616
3.38449e+07,-11.7499
3.39072e+07,-11.8155
3.39696e+07,-11.8673
3.4032e+07,-11.9714
3.40944e+07,-12.043
3.41568e+07,-12.1117
3.42191e+07,-12.1614
3.42815e+07,-12.283
3.43439e+07,-12.3187
3.44062e+07,-12.3898
3.44686e+07,-12.4648
3.4531e+07,-12.5731
3.45934e+07,-12.5986
3.46558e+07,-12.7068
3.47181e+07,-12.7909
