f,noise
2.19312e+07,-78.4963
2.19936e+07,-79.1608
2.2056e+07,-78.7293
2.21184e+07,-80.1443
2.21808e+07,-79.1096
2.22431e+07,-78.5766
2.23055e+07,-80.036
2.23679e+07,-80.4159
2.24302e+07,-79.7647
2.24926e+07,-77.9888
2.2555e+07,-81.0327
2.26174e+07,-80.8683
2.26798e+07,-81.728
2.27421e+07,-78.8638
2.28045e+07,-79.2971
2.28669e+07,-79.8675
2.29292e+07,-79.2967
2.29916e+07,-78.2651
2.3054e+07,-78.4454
2.31164e+07,-80.4826
2.31788e+07,-80.5849
2.32411e+07,-76.6081
2.33035e+07,-79.8111
2.33659e+07,-80.832
2.34282e+07,-79.023
2.34906e+07,-79.7018
2.3553e+07,-79.0772
2.36154e+07,-76.4806
2.36778e+07,-79.2379
2.37401e+07,-79.4734
2.38025e+07,-80.0612
2.38649e+07,-78.7052
2.39272e+07,-80.4743
2.39896e+07,-74.4615
2.4052e+07,-78.7924
2.41144e+07,-79.8679
2.41768e+07,-80.5704
2.42391e+07,-79.9327
2.43015e+07,-79.7826
2.43639e+07,-78.4874
2.44262e+07,-79.9119
2.44886e+07,-80.2708
2.4551e+07,-81.1231
2.46134e+07,-79.0551
2.46758e+07,-79.4223
2.47381e+07,-78.0574
2.48005e+07,-79.2898
2.48629e+07,-78.8917
2.49252e+07,-79.3316
2.49876e+07,-80.341
2.505e+07,-79.1769
2.51124e+07,-79.0604
2.51748e+07,-79.0735
2.52371e+07,-77.4475
2.52995e+07,-79.6476
2.53619e+07,-79.321
2.54242e+07,-78.2662
2.54866e+07,-79.8634
2.5549e+07,-81.0572
2.56114e+07,-80.0551
2.56738e+07,-79.2197
2.57361e+07,-79.315
2.57985e+07,-80.8683
2.58609e+07,-78.3502
2.59232e+07,-80.139
2.59856e+07,-79.2867
2.6048e+07,-77.1758
2.61104e+07,-79.0169
2.61728e+07,-79.4193
2.62351e+07,-78.8718
2.62975e+07,-79.1949
2.63599e+07,-80.6502
2.64222e+07,-80.218
2.64846e+07,-79.2304
2.6547e+07,-80.6335
2.66094e+07,-78.9798
2.66718e+07,-82.205
2.67341e+07,-81.1881
2.67965e+07,-79.2883
2.68589e+07,-76.2799
2.69212e+07,-79.1746
2.69836e+07,-77.4633
2.7046e+07,-81.7498
2.71084e+07,-79.751
2.71708e+07,-79.6171
2.72331e+07,-79.823
2.72955e+07,-79.9943
2.73579e+07,-80.286
2.74202e+07,-80.4407
2.74826e+07,-79.2449
2.7545e+07,-79.5308
2.76074e+07,-79.1541
2.76698e+07,-77.6213
2.77321e+07,-79.2349
2.77945e+07,-80.5021
2.78569e+07,-77.9546
2.79192e+07,-79.5529
2.79816e+07,-81.2347
2.8044e+07,-82.5118
2.81064e+07,-80.121
2.81688e+07,-77.6497
2.82311e+07,-79.3014
2.82935e+07,-78.4318
2.83559e+07,-78.6962
2.84182e+07,-81.1423
2.84806e+07,-79.9062
2.8543e+07,-76.8232
2.86054e+07,-79.6071
2.86678e+07,-79.4287
2.87301e+07,-77.8852
2.87925e+07,-78.8191
2.88549e+07,-78.793
2.89172e+07,-80.6195
2.89796e+07,-79.2394
2.9042e+07,-78.4705
2.91044e+07,-78.6806
2.91668e+07,-76.9351
2.92291e+07,-78.2402
2.92915e+07,-76.9765
2.93539e+07,-79.0139
2.94162e+07,-77.2174
2.94786e+07,-80.0759
2.9541e+07,-77.801
2.96034e+07,-78.5185
2.96658e+07,-78.2386
2.97281e+07,-77.2162
2.97905e+07,-76.7331
2.98529e+07,-77.6397
2.99152e+07,-76.8423
2.99776e+07,-76.6478
3.004e+07,-76.418
3.01024e+07,-73.1852
3.01648e+07,-77.5783
3.02271e+07,-76.533
3.02895e+07,-75.6
3.03519e+07,-74.7467
3.04142e+07,-74.3701
3.04766e+07,-77.3221
3.0539e+07,-76.6255
3.06014e+07,-76.7779
3.06638e+07,-74.3227
3.07261e+07,-74.307
3.07885e+07,-74.934
3.08509e+07,-77.1155
3.09132e+07,-73.9333
3.09756e+07,-77.0125
3.1038e+07,-76.0953
3.11004e+07,-71.1225
3.11628e+07,-73.8367
3.12251e+07,-77.0327
3.12875e+07,-74.3049
3.13499e+07,-74.4501
3.14122e+07,-73.6356
3.14746e+07,-76.1064
3.1537e+07,-73.052
3.15994e+07,-72.849
3.16618e+07,-71.6485
3.17241e+07,-73.8225
3.17865e+07,-75.4935
3.18489e+07,-72.0476
3.19112e+07,-71.4841
3.19736e+07,-73.5293
3.2036e+07,-72.7478
3.20984e+07,-72.2497
3.21608e+07,-74.7023
3.22231e+07,-73.8941
3.22855e+07,-74.3555
3.23479e+07,-74.3813
3.24102e+07,-74.1149
3.24726e+07,-73.9054
3.2535e+07,-74.2082
3.25974e+07,-75.1064
3.26598e+07,-72.5434
3.27221e+07,-74.6841
3.27845e+07,-77.0517
3.28469e+07,-76.3717
3.29092e+07,-73.1163
3.29716e+07,-76.0883
3.3034e+07,-76.1388
3.30964e+07,-76.3839
3.31588e+07,-73.3063
3.32211e+07,-74.1929
3.32835e+07,-73.8828
3.33459e+07,-72.7797
3.34082e+07,-75.0921
3.34706e+07,-73.924
3.3533e+07,-73.8598
3.35954e+07,-74.3197
3.36578e+07,-73.7426
3.37201e+07,-73.7376
3.37825e+07,-75.8758
3.38449e+07,-76.0724
3.39072e+07,-74.1701
3.39696e+07,-76.2701
3.4032e+07,-74.443
3.40944e+07,-76.04
3.41568e+07,-74.7139
3.42191e+07,-74.8883
3.42815e+07,-75.7331
3.43439e+07,-73.4549
3.44062e+07,-73.8322
3.44686e+07,-74.465
3.4531e+07,-73.1082
3.45934e+07,-75.3981
3.46558e+07,-77.1373
3.47181e+07,-73.5926
3.47805e+07,-75.5211
3.48429e+07,-76.2766
3.49052e+07,-77.1471
3.49676e+07,-73.568
3.503e+07,-73.8718
3.50924e+07,-76.2115
3.51548e+07,-76.3108
3.52171e+07,-75.948
3.52795e+07,-73.9782
3.53419e+07,-75.8615
3.54042e+07,-76.6326
3.54666e+07,-78.4298
3.5529e+07,-75.8103
3.55914e+07,-78.7547
3.56538e+07,-76.4875
3.57161e+07,-77.1119
3.57785e+07,-74.325
3.58409e+07,-77.9925
3.59032e+07,-77.2439
3.59656e+07,-76.8871
3.6028e+07,-76.7278
3.60904e+07,-79.4235
3.61528e+07,-78.8549
3.62151e+07,-78.3889
3.62775e+07,-76.6156
3.63399e+07,-79.939
3.64022e+07,-78.7916
3.64646e+07,-76.4134
3.6527e+07,-78.1618
3.65894e+07,-78.9388
3.66518e+07,-81.6831
3.67141e+07,-80.4383
3.67765e+07,-76.9665
3.68389e+07,-77.597
3.69012e+07,-80.4537
3.69636e+07,-79.4394
3.7026e+07,-80.4318
3.70884e+07,-75.3476
3.71508e+07,-79.4531
3.72131e+07,-79.0273
3.72755e+07,-79.7154
3.73379e+07,-76.9969
3.74002e+07,-77.9666
3.74626e+07,-79.5097
3.7525e+07,-77.3202
3.75874e+07,-78.1786
3.76498e+07,-79.6403
3.77121e+07,-79.3179
3.77745e+07,-77.9289
3.78369e+07,-77.2629
3.78992e+07,-79.9435
3.79616e+07,-78.8573
3.8024e+07,-75.5743
3.80864e+07,-79.4545
3.81488e+07,-77.9316
3.82111e+07,-79.7021
3.82735e+07,-80.1943
3.83359e+07,-79.0689
3.83982e+07,-80.09
3.84606e+07,-79.254
3.8523e+07,-76.9962
3.85854e+07,-80.1515
3.86478e+07,-79.0632
3.87101e+07,-80.7314
3.87725e+07,-76.8554
3.88349e+07,-80.308
3.88972e+07,-83.9093
3.89596e+07,-77.5083
3.9022e+07,-81.5943
3.90844e+07,-81.3998
3.91468e+07,-80.3121
3.92091e+07,-80.3013
3.92715e+07,-79.9486
3.93339e+07,-78.7721
3.93962e+07,-79.3828
3.94586e+07,-80.0398
3.9521e+07,-80.3213
3.95834e+07,-82.6831
3.96458e+07,-77.6333
3.97081e+07,-80.0031
3.97705e+07,-81.2368
3.98329e+07,-80.7943
3.98952e+07,-79.6076
3.99576e+07,-81.319
4.002e+07,-79.4715
4.00824e+07,-81.4564
4.01448e+07,-80.9685
4.02071e+07,-81.1764
4.02695e+07,-80.0832
4.03319e+07,-82.3526
4.03942e+07,-81.5955
4.04566e+07,-80.6586
4.0519e+07,-82.14
4.05814e+07,-79.659
4.06438e+07,-78.7407
4.07061e+07,-81.4602
4.07685e+07,-79.1848
4.08309e+07,-82.9831
4.08932e+07,-79.1195
4.09556e+07,-81.127
