f, gain
2.1058e+07,-30.6924
2.11204e+07,-30.7297
2.11828e+07,-30.7236
2.12451e+07,-30.7722
2.13075e+07,-30.7701
2.13699e+07,-30.9756
2.14322e+07,-30.7083
2.14946e+07,-30.8979
2.1557e+07,-30.9061
2.16194e+07,-30.9765
2.16818e+07,-30.8555
2.17441e+07,-30.9142
2.18065e+07,-30.9794
2.18689e+07,-31.0978
2.19312e+07,-31.0998
2.19936e+07,-31.0713
2.2056e+07,-31.1537
2.21184e+07,-31.0681
2.21808e+07,-31.2809
2.22431e+07,-31.1887
2.23055e+07,-31.1758
2.23679e+07,-31.2721
2.24302e+07,-31.3217
2.24926e+07,-31.2484
2.2555e+07,-31.3129
2.26174e+07,-31.1299
2.26798e+07,-31.2386
2.27421e+07,-31.342
2.28045e+07,-31.1839
2.28669e+07,-31.4544
2.29292e+07,-31.3517
2.29916e+07,-31.4105
2.3054e+07,-31.4862
2.31164e+07,-31.4575
2.31788e+07,-31.3994
2.32411e+07,-31.5492
2.33035e+07,-31.464
2.33659e+07,-31.3872
2.34282e+07,-31.6272
2.34906e+07,-31.6148
2.3553e+07,-31.6147
2.36154e+07,-31.6069
2.36778e+07,-31.6866
2.37401e+07,-31.6034
2.38025e+07,-31.6033
2.38649e+07,-31.5442
2.39272e+07,-31.5508
2.39896e+07,-31.6582
2.4052e+07,-31.6604
2.41144e+07,-31.7805
2.41768e+07,-31.8664
2.42391e+07,-31.8365
2.43015e+07,-31.6974
2.43639e+07,-31.7654
2.44262e+07,-31.6466
2.44886e+07,-31.7893
2.4551e+07,-31.8454
2.46134e+07,-31.8592
2.46758e+07,-31.7834
2.47381e+07,-31.7435
2.48005e+07,-31.9715
2.48629e+07,-31.9214
2.49252e+07,-31.9574
2.49876e+07,-32.2387
2.505e+07,-31.9652
2.51124e+07,-32.1187
2.51748e+07,-32.0369
2.52371e+07,-32.0426
2.52995e+07,-32.0128
2.53619e+07,-32.0436
2.54242e+07,-32.0115
2.54866e+07,-31.9989
2.5549e+07,-32.2008
2.56114e+07,-32.1102
2.56738e+07,-32.1101
2.57361e+07,-32.1936
2.57985e+07,-32.3264
2.58609e+07,-31.9804
2.59232e+07,-32.2755
2.59856e+07,-32.3832
2.6048e+07,-32.1678
