f,loop
2.42391e+07,-67.1795
2.43015e+07,-67.1885
2.43639e+07,-67.1895
2.44262e+07,-67.1003
2.44886e+07,-67.1915
2.4551e+07,-67.1377
2.46134e+07,-67.1672
2.46758e+07,-67.1787
2.47381e+07,-67.1508
2.48005e+07,-67.1131
2.48629e+07,-67.1492
2.49252e+07,-67.1382
2.49876e+07,-67.3239
2.505e+07,-67.0985
2.51124e+07,-67.1183
2.51748e+07,-67.1328
2.52371e+07,-67.1428
2.52995e+07,-67.1413
2.53619e+07,-67.0961
2.54242e+07,-67.1194
2.54866e+07,-67.1005
2.5549e+07,-67.0471
2.56114e+07,-67.0321
2.56738e+07,-67.0629
2.57361e+07,-67.0562
2.57985e+07,-67.0273
2.58609e+07,-67.0437
2.59232e+07,-66.9861
2.59856e+07,-67.0057
2.6048e+07,-67.0358
2.61104e+07,-67.0464
2.61728e+07,-67.0032
2.62351e+07,-66.9805
2.62975e+07,-67.0672
2.63599e+07,-67.0598
2.64222e+07,-67.0564
2.64846e+07,-67.0288
2.6547e+07,-67.0256
2.66094e+07,-66.9752
2.66718e+07,-67.0036
2.67341e+07,-67.0242
2.67965e+07,-66.9871
2.68589e+07,-66.9811
2.69212e+07,-66.9803
2.69836e+07,-66.9546
2.7046e+07,-66.9536
2.71084e+07,-66.9294
2.71708e+07,-66.9841
2.72331e+07,-67.0117
2.72955e+07,-66.9852
2.73579e+07,-66.9612
2.74202e+07,-66.944
2.74826e+07,-66.917
2.7545e+07,-66.9221
2.76074e+07,-66.945
2.76698e+07,-66.8823
2.77321e+07,-66.9056
2.77945e+07,-66.9223
2.78569e+07,-66.8735
2.79192e+07,-66.9077
2.79816e+07,-66.889
2.8044e+07,-66.8001
2.81064e+07,-66.8943
2.81688e+07,-66.8604
2.82311e+07,-66.8409
2.82935e+07,-66.8374
2.83559e+07,-66.7862
2.84182e+07,-66.7932
2.84806e+07,-66.8043
2.8543e+07,-66.7994
2.86054e+07,-66.7681
2.86678e+07,-66.7816
2.87301e+07,-66.785
2.87925e+07,-66.7933
2.88549e+07,-66.7953
2.89172e+07,-66.8197
2.89796e+07,-66.7791
2.9042e+07,-66.7517
2.91044e+07,-66.7985
2.91668e+07,-66.7961
2.92291e+07,-66.7175
2.92915e+07,-66.7076
2.93539e+07,-66.7498
2.94162e+07,-66.7323
2.94786e+07,-66.6767
2.9541e+07,-66.6742
2.96034e+07,-66.6571
2.96658e+07,-66.6318
2.97281e+07,-66.65
2.97905e+07,-66.6587
2.98529e+07,-66.6427
2.99152e+07,-66.5858
2.99776e+07,-66.6375
3.004e+07,-66.648
3.01024e+07,-66.6286
3.01648e+07,-66.6126
3.02271e+07,-66.6652
3.02895e+07,-66.5843
3.03519e+07,-66.5957
3.04142e+07,-66.556
3.04766e+07,-66.5891
3.0539e+07,-66.6139
3.06014e+07,-66.5721
3.06638e+07,-66.6029
3.07261e+07,-66.5785
3.07885e+07,-66.5491
3.08509e+07,-66.5344
3.09132e+07,-66.5979
3.09756e+07,-66.5349
3.1038e+07,-66.5351
3.11004e+07,-66.5744
3.11628e+07,-66.5213
3.12251e+07,-66.5345
3.12875e+07,-66.5498
3.13499e+07,-66.5174
3.14122e+07,-66.5157
3.14746e+07,-66.4843
3.1537e+07,-66.4696
3.15994e+07,-66.4784
3.16618e+07,-66.387
3.17241e+07,-66.4682
3.17865e+07,-66.4788
3.18489e+07,-66.4775
3.19112e+07,-66.472
3.19736e+07,-66.3962
3.2036e+07,-66.414
3.20984e+07,-66.4852
3.21608e+07,-66.4275
3.22231e+07,-66.4309
3.22855e+07,-66.4008
3.23479e+07,-66.4003
3.24102e+07,-66.3871
3.24726e+07,-66.3568
3.2535e+07,-66.3199
3.25974e+07,-66.3859
3.26598e+07,-66.3528
3.27221e+07,-66.349
3.27845e+07,-66.2913
3.28469e+07,-66.3514
3.29092e+07,-66.3532
3.29716e+07,-66.2898
3.3034e+07,-66.323
3.30964e+07,-66.2884
3.31588e+07,-66.2412
3.32211e+07,-66.2267
3.32835e+07,-66.2591
3.33459e+07,-66.2723
3.34082e+07,-66.323
3.34706e+07,-66.3052
3.3533e+07,-66.2586
3.35954e+07,-66.2323
3.36578e+07,-66.2776
3.37201e+07,-66.2607
3.37825e+07,-66.275
3.38449e+07,-66.2615
3.39072e+07,-66.265
3.39696e+07,-66.2554
3.4032e+07,-66.2375
3.40944e+07,-66.2191
3.41568e+07,-66.1751
3.42191e+07,-66.1889
3.42815e+07,-66.1493
3.43439e+07,-66.174
3.44062e+07,-66.1598
3.44686e+07,-66.1297
3.4531e+07,-66.1163
3.45934e+07,-66.1485
3.46558e+07,-66.0919
3.47181e+07,-66.0904
3.47805e+07,-66.0926
3.48429e+07,-66.0959
3.49052e+07,-66.1121
3.49676e+07,-66.1105
3.503e+07,-66.0956
3.50924e+07,-65.9721
3.51548e+07,-66.0851
3.52171e+07,-66.0766
3.52795e+07,-66.1046
3.53419e+07,-66.0635
3.54042e+07,-66.0908
3.54666e+07,-66.0452
3.5529e+07,-66.0736
3.55914e+07,-66.1006
3.56538e+07,-66.0926
3.57161e+07,-66.099
3.57785e+07,-66.1028
3.58409e+07,-66.0704
3.59032e+07,-66.1013
3.59656e+07,-66.0626
3.6028e+07,-66.1073
3.60904e+07,-66.0811
3.61528e+07,-66.1177
3.62151e+07,-66.0358
3.62775e+07,-66.0652
3.63399e+07,-65.9923
3.64022e+07,-66.0619
3.64646e+07,-66.0366
3.6527e+07,-65.9849
3.65894e+07,-66.0798
3.66518e+07,-66.058
3.67141e+07,-66.013
3.67765e+07,-66.0234
3.68389e+07,-65.9687
3.69012e+07,-65.9597
3.69636e+07,-65.9539
3.7026e+07,-65.9581
3.70884e+07,-65.9726
3.71508e+07,-65.9305
3.72131e+07,-65.9003
3.72755e+07,-65.9408
3.73379e+07,-65.8988
3.74002e+07,-65.9157
3.74626e+07,-65.9267
3.7525e+07,-65.8477
3.75874e+07,-65.8448
3.76498e+07,-65.891
3.77121e+07,-65.8965
3.77745e+07,-65.8839
3.78369e+07,-65.9144
3.78992e+07,-65.9201
3.79616e+07,-65.887
3.8024e+07,-65.8687
3.80864e+07,-65.847
3.81488e+07,-65.8186
3.82111e+07,-65.8441
3.82735e+07,-65.8148
3.83359e+07,-65.7957
3.83982e+07,-65.7652
3.84606e+07,-65.7596
3.8523e+07,-65.7866
3.85854e+07,-65.7489
3.86478e+07,-65.7512
3.87101e+07,-65.7262
3.87725e+07,-65.735
3.88349e+07,-65.7256
3.88972e+07,-65.6159
3.89596e+07,-65.7473
3.9022e+07,-65.695
3.90844e+07,-65.7088
3.91468e+07,-65.7043
3.92091e+07,-65.7077
3.92715e+07,-65.7176
3.93339e+07,-65.7228
3.93962e+07,-65.6887
3.94586e+07,-65.6811
3.9521e+07,-65.6982
3.95834e+07,-65.678
3.96458e+07,-65.6616
3.97081e+07,-65.6636
3.97705e+07,-65.6279
3.98329e+07,-65.6203
3.98952e+07,-65.6322
3.99576e+07,-65.634
4.002e+07,-65.6324
4.00824e+07,-65.6245
4.01448e+07,-65.6086
4.02071e+07,-65.5716
4.02695e+07,-65.6353
4.03319e+07,-65.611
4.03942e+07,-65.5467
4.04566e+07,-65.5914
4.0519e+07,-65.5075
4.05814e+07,-65.5658
4.06438e+07,-65.5156
4.07061e+07,-65.5464
4.07685e+07,-65.5216
4.08309e+07,-65.5184
4.08932e+07,-65.4955
4.09556e+07,-65.5377
4.1018e+07,-65.5423
4.10804e+07,-65.5498
4.11428e+07,-65.5332
4.12051e+07,-65.4977
4.12675e+07,-65.5156
4.13299e+07,-65.468
4.13922e+07,-65.4196
4.14546e+07,-65.448
4.1517e+07,-65.4918
4.15794e+07,-65.4331
4.16418e+07,-65.4339
4.17041e+07,-65.3508
4.17665e+07,-65.415
4.18289e+07,-65.4226
4.18912e+07,-65.3773
4.19536e+07,-65.4156
4.2016e+07,-65.4277
4.20784e+07,-65.426
4.21408e+07,-65.3872
4.22031e+07,-65.3823
4.22655e+07,-65.3611
4.23279e+07,-65.2962
4.23902e+07,-65.3306
4.24526e+07,-65.316
4.2515e+07,-65.3627
4.25774e+07,-65.3538
4.26398e+07,-65.3391
4.27021e+07,-65.294
4.27645e+07,-65.2856
4.28269e+07,-65.2818
4.28892e+07,-65.2844
4.29516e+07,-65.2948
4.3014e+07,-65.2897
4.30764e+07,-65.306
4.31388e+07,-65.2979
4.32011e+07,-65.2739
4.32635e+07,-65.2456
4.33259e+07,-65.2887
4.33882e+07,-65.251
4.34506e+07,-65.252
4.3513e+07,-65.2728
4.35754e+07,-65.256
4.36378e+07,-65.2906
4.37001e+07,-65.2323
4.37625e+07,-65.2189
4.38249e+07,-65.2425
4.38872e+07,-65.1874
4.39496e+07,-65.2066
4.4012e+07,-65.1748
4.40744e+07,-65.1524
4.41368e+07,-65.1732
4.41991e+07,-65.1948
4.42615e+07,-65.1742
4.43239e+07,-65.1427
4.43862e+07,-65.1538
4.44486e+07,-65.1302
4.4511e+07,-65.1039
4.45734e+07,-65.0849
4.46358e+07,-65.1262
4.46981e+07,-65.0819
4.47605e+07,-65.0342
4.48229e+07,-65.0824
4.48852e+07,-65.0648
4.49476e+07,-65.0257
4.501e+07,-65.0263
4.50724e+07,-65.0337
4.51348e+07,-65.0096
4.51971e+07,-65.0135
4.52595e+07,-64.9209
4.53219e+07,-64.9618
4.53842e+07,-64.9888
4.54466e+07,-64.9677
4.5509e+07,-64.9454
4.55714e+07,-64.9437
4.56338e+07,-64.8776
4.56961e+07,-64.9308
4.57585e+07,-64.8819
4.58209e+07,-64.8599
4.58832e+07,-64.8201
4.59456e+07,-64.8397
4.6008e+07,-64.8225
4.60704e+07,-64.7847
4.61328e+07,-64.8179
4.61951e+07,-64.7703
4.62575e+07,-64.761
4.63199e+07,-64.7204
4.63822e+07,-64.7172
4.64446e+07,-64.6742
4.6507e+07,-64.6495
4.65694e+07,-64.6505
4.66318e+07,-64.6648
4.66941e+07,-64.6578
4.67565e+07,-64.6267
4.68189e+07,-64.6109
4.68812e+07,-64.63
4.69436e+07,-64.6023
4.7006e+07,-64.5736
4.70684e+07,-64.5917
4.71308e+07,-64.5916
4.71931e+07,-64.543
4.72555e+07,-64.5678
4.73179e+07,-64.5995
4.73802e+07,-64.5877
4.74426e+07,-64.5581
4.7505e+07,-64.5425
4.75674e+07,-64.598
4.76298e+07,-64.5764
4.76921e+07,-64.5874
4.77545e+07,-64.5833
4.78169e+07,-64.5649
4.78792e+07,-64.5076
4.79416e+07,-64.4891
4.8004e+07,-64.4686
4.80664e+07,-64.4691
4.81288e+07,-64.4356
4.81911e+07,-64.3931
4.82535e+07,-64.387
4.83159e+07,-64.3653
4.83782e+07,-64.3409
4.84406e+07,-64.3118
4.8503e+07,-64.346
4.85654e+07,-64.2775
4.86278e+07,-64.2092
4.86901e+07,-64.2548
4.87525e+07,-64.2065
