Hz,Rfb reduced 1.2k,Rfb reduced 1.2k bis,all grounded,braid grounded 1 side,braid grounded 1 side bis,braid grounded 1 side ter,braid grounded 1 side ext. Power supply,Rfb back to 3k
19450,4.88E-07,2.93E-07,7.81E-08,5.53E-08,9.34E-08,9.54E-08,5.39E-06,1.17E-07
19525,2.29E-07,4.76E-07,1.46E-07,1.27E-07,9.74E-08,9.14E-08,6.65E-06,1.57E-07
19600,3.08E-07,2.21E-07,1.57E-07,1.34E-07,9.13E-08,1.29E-07,2.87E-06,8.36E-08
19675,3.29E-07,3.71E-07,1.23E-07,1.18E-07,1.30E-07,1.77E-07,2.46E-06,1.66E-07
19750,3.15E-07,3.34E-07,1.40E-07,1.90E-07,1.26E-07,1.08E-07,1.90E-06,1.46E-07
19825,3.30E-07,6.00E-07,1.19E-07,1.35E-07,9.96E-08,1.27E-07,5.08E-06,1.14E-07
19900,3.48E-07,3.18E-07,6.26E-08,1.17E-07,6.61E-08,8.97E-08,2.36E-06,1.21E-07
19975,4.67E-07,4.94E-07,1.03E-07,9.66E-08,1.13E-07,6.43E-08,3.00E-06,1.63E-07
20050,2.68E-07,3.20E-07,1.07E-07,1.40E-07,1.43E-07,1.58E-07,2.94E-06,1.03E-07
20125,5.00E-07,3.14E-07,1.01E-07,1.06E-07,1.07E-07,1.03E-07,6.31E-06,8.41E-08
20200,5.04E-07,2.73E-07,1.06E-07,9.94E-08,1.63E-07,8.14E-08,2.79E-06,1.74E-07
20275,3.78E-07,3.28E-07,1.34E-07,9.45E-08,1.22E-07,1.18E-07,2.66E-06,1.66E-07
20350,5.53E-07,4.66E-07,1.05E-07,1.12E-07,1.64E-07,1.30E-07,3.57E-06,1.27E-07
20425,3.38E-07,3.53E-07,1.37E-07,1.64E-07,1.02E-07,1.37E-07,5.95E-06,9.29E-08
20500,4.65E-07,2.49E-07,9.10E-08,7.68E-08,1.40E-07,8.55E-08,2.85E-06,1.01E-07
20575,4.02E-07,3.47E-07,1.33E-07,8.15E-08,8.45E-08,9.59E-08,2.54E-06,1.17E-07
20650,4.05E-07,2.95E-07,9.35E-08,9.30E-08,1.06E-07,9.40E-08,3.22E-06,1.27E-07
20725,4.09E-07,2.48E-07,8.50E-08,9.25E-08,1.18E-07,9.10E-08,4.18E-06,1.30E-07
20800,4.51E-07,5.24E-07,1.53E-07,1.23E-07,9.54E-08,1.16E-07,2.09E-06,9.77E-08
20875,6.15E-07,4.85E-07,1.14E-07,6.44E-08,8.44E-08,1.37E-07,2.65E-06,1.22E-07
20950,6.97E-07,4.68E-07,1.69E-07,1.13E-07,7.83E-08,1.14E-07,3.68E-06,1.66E-07
21025,4.53E-07,5.27E-07,1.28E-07,9.99E-08,1.41E-07,1.01E-07,3.69E-06,1.14E-07
21100,5.01E-07,3.75E-07,1.50E-07,1.20E-07,8.17E-08,1.31E-07,1.90E-06,6.37E-08
21175,3.12E-07,3.46E-07,1.29E-07,8.00E-08,8.33E-08,1.05E-07,2.97E-06,1.02E-07
21250,4.04E-07,2.86E-07,6.05E-08,8.83E-08,1.04E-07,1.21E-07,4.16E-06,1.00E-07
21325,5.17E-07,3.98E-07,1.01E-07,1.23E-07,1.34E-07,9.24E-08,3.21E-06,1.03E-07
21400,3.57E-07,3.65E-07,1.51E-07,1.45E-07,1.60E-07,9.06E-08,2.14E-06,1.77E-07
21475,3.38E-07,5.46E-07,8.59E-08,1.25E-07,1.13E-07,1.02E-07,2.95E-06,1.09E-07
21550,4.74E-07,3.71E-07,1.67E-07,8.39E-08,1.60E-07,8.89E-08,2.91E-06,1.38E-07
