Hz,V /sqrt(Hz)
32262.5,9.19E-08
32275,9.08E-08
32306.25,1.05E-07
32350,1.19E-07
32350,7.20E-08
32393.75,7.18E-08
32425,5.17E-08
32437.5,9.76E-08
32481.25,7.16E-08
32500,1.13E-07
32525,9.03E-08
32568.75,1.15E-07
32575,1.02E-07
32612.5,1.15E-07
32650,1.05E-07
32656.25,1.28E-07
32700,1.09E-07
32725,1.09E-07
32743.75,1.03E-07
32787.5,9.98E-08
32800,1.04E-07
32831.25,1.12E-07
32875,8.11E-08
32875,1.21E-07
32918.75,1.13E-07
32950,9.73E-08
32962.5,7.95E-08
33006.25,1.04E-07
33025,7.51E-08
33050,1.00E-07
33093.75,1.05E-07
33100,8.18E-08
33137.5,9.61E-08
33175,8.58E-08
33181.25,8.56E-08
33225,9.47E-08
33250,8.38E-08
33268.75,8.26E-08
33312.5,1.22E-07
33325,6.94E-08
33356.25,6.84E-08
33400,1.11E-07
33400,6.39E-08
33443.75,5.40E-08
33475,1.18E-07
33487.5,1.21E-07
33531.25,1.00E-07
33550,1.01E-07
33575,7.97E-08
33618.75,1.03E-07
33625,9.05E-08
33662.5,9.25E-08
33700,1.09E-07
33706.25,8.33E-08
33750,7.40E-08
33775,8.30E-08
33793.75,1.01E-07
33837.5,7.43E-08
33850,8.08E-08
33881.25,1.08E-07
33925,1.06E-07
33925,4.15E-08
33968.75,7.67E-08
34000,1.13E-07
34012.5,1.29E-07
34056.25,9.73E-08
34075,8.69E-08
34100,1.02E-07
34143.75,6.10E-08
34150,1.02E-07
34187.5,6.96E-08
34225,1.04E-07
34231.25,1.14E-07
34275,7.38E-08
34300,7.31E-08
34318.75,1.41E-07
34362.5,6.37E-08
34375,1.08E-07
34406.25,9.85E-08
34450,7.65E-08
34450,7.04E-08
34493.75,5.16E-08
34525,7.34E-08
34537.5,9.82E-08
34581.25,4.95E-08
34600,8.84E-08
34625,8.38E-08
34668.75,6.57E-08
34675,1.17E-07
34712.5,1.36E-07
34750,7.88E-08
34756.25,7.07E-08
34800,9.54E-08
34825,8.31E-08
34843.75,8.81E-08
34887.5,6.65E-08
34900,6.58E-08
34931.25,7.62E-08
34975,1.04E-07
34975,7.83E-08
35018.75,7.65E-08
35050,9.25E-08
35062.5,1.07E-07
35106.25,8.77E-08
35125,5.21E-08
35150,8.97E-08
35193.75,1.17E-07
35200,8.00E-08
35237.5,1.07E-07
35275,1.31E-07
35281.25,5.01E-08
35325,5.46E-08
35350,5.88E-08
35368.75,1.15E-07
35412.5,1.05E-07
35425,9.22E-08
35456.25,1.16E-07
35500,6.15E-08
35500,9.16E-08
35543.75,7.81E-08
35575,8.32E-08
35587.5,1.28E-07
35631.25,1.17E-07
35650,9.31E-08
35675,6.94E-08
35718.75,9.00E-08
35725,6.81E-08
35762.5,4.81E-08
35800,9.39E-08
35806.25,1.08E-07
35850,1.44E-07
35875,1.31E-07
35893.75,7.15E-08
35937.5,7.36E-08
35950,8.04E-08
35981.25,7.10E-08
36025,6.34E-08
36025,7.92E-08
36068.75,7.06E-08
36100,9.21E-08
36112.5,6.98E-08
36156.25,1.84E-07
36175,1.56E-07
36200,1.02E-07
36243.75,7.36E-08
36250,6.70E-08
36287.5,6.09E-08
36325,7.37E-08
36331.25,6.34E-08
36375,8.53E-08
36400,5.40E-08
36418.75,7.50E-08
36462.5,7.42E-08
36475,7.23E-08
36506.25,4.57E-08
36550,7.29E-08
36550,7.89E-08
36593.75,8.06E-08
36625,3.98E-08
36637.5,8.05E-08
36681.25,6.93E-08
36700,7.37E-08
36725,1.16E-07
36768.75,4.88E-08
36775,8.00E-08
36812.5,8.62E-08
36850,9.43E-08
36856.25,5.18E-08
36900,6.89E-08
36925,8.47E-08
36943.75,4.83E-08
36987.5,6.45E-08
37000,7.31E-08
37031.25,5.60E-08
37075,4.81E-08
37075,7.29E-08
37118.75,7.58E-08
37150,5.61E-08
37162.5,6.31E-08
37206.25,8.09E-08
37225,4.62E-08
37250,7.41E-08
37293.75,8.74E-08
37300,5.99E-08
37337.5,7.92E-08
37375,5.61E-08
37381.25,4.29E-08
37425,1.02E-07
37450,7.63E-08
37468.75,5.02E-08
37512.5,1.07E-07
37525,8.75E-08
37556.25,6.39E-08
37600,5.26E-08
37600,7.82E-08
37643.75,7.85E-08
37675,8.74E-08
37687.5,6.04E-08
37731.25,4.46E-08
37750,4.96E-08
37775,7.05E-08
37818.75,6.13E-08
37825,5.78E-08
37862.5,8.25E-08
37900,6.85E-08
37906.25,6.60E-08
37950,6.61E-08
37975,4.53E-08
37993.75,5.37E-08
38037.5,7.45E-08
38050,4.78E-08
38081.25,7.76E-08
38125,5.38E-08
38125,6.38E-08
38168.75,9.62E-08
38200,5.04E-08
38212.5,4.97E-08
38256.25,8.45E-08
38275,6.37E-08
38300,7.93E-08
38343.75,8.01E-08
38350,5.76E-08
