f,noise
2.13699e+07,-82.0833
2.14322e+07,-81.6237
2.14946e+07,-78.3304
2.1557e+07,-79.9108
2.16194e+07,-77.8416
2.16818e+07,-80.6066
2.17441e+07,-79.0075
2.18065e+07,-78.8392
2.18689e+07,-81.3295
2.19312e+07,-80.2071
2.19936e+07,-78.5925
2.2056e+07,-79.6134
2.21184e+07,-80.4139
2.21808e+07,-79.3974
2.22431e+07,-81.1097
2.23055e+07,-81.4179
2.23679e+07,-79.2823
2.24302e+07,-80.2256
2.24926e+07,-80.822
2.2555e+07,-78.5349
2.26174e+07,-78.7795
2.26798e+07,-81.3836
2.27421e+07,-80.7278
2.28045e+07,-80.9691
2.28669e+07,-80.5128
2.29292e+07,-79.8237
2.29916e+07,-80.6142
2.3054e+07,-80.905
2.31164e+07,-80.9791
2.31788e+07,-79.0132
2.32411e+07,-77.0037
2.33035e+07,-78.7369
2.33659e+07,-81.4607
2.34282e+07,-79.6472
2.34906e+07,-77.0982
2.3553e+07,-80.6028
2.36154e+07,-78.5328
2.36778e+07,-79.1838
2.37401e+07,-79.7016
2.38025e+07,-80.8403
2.38649e+07,-80.7463
2.39272e+07,-78.3334
2.39896e+07,-71.396
2.4052e+07,-81.4706
2.41144e+07,-80.0482
2.41768e+07,-79.235
2.42391e+07,-79.5637
2.43015e+07,-80.735
2.43639e+07,-80.2218
2.44262e+07,-79.5633
2.44886e+07,-80.2902
2.4551e+07,-80.9763
2.46134e+07,-79.2341
2.46758e+07,-79.1905
2.47381e+07,-79.2164
2.48005e+07,-80.6515
2.48629e+07,-79.6718
2.49252e+07,-80.5797
2.49876e+07,-79.3312
2.505e+07,-78.5509
2.51124e+07,-80.6056
2.51748e+07,-78.6058
2.52371e+07,-80.7762
2.52995e+07,-80.1309
2.53619e+07,-79.681
2.54242e+07,-80.0369
2.54866e+07,-79.816
2.5549e+07,-79.636
2.56114e+07,-79.521
2.56738e+07,-80.3786
2.57361e+07,-81.2122
2.57985e+07,-78.7963
2.58609e+07,-78.3859
2.59232e+07,-80.3491
2.59856e+07,-79.5819
2.6048e+07,-78.8852
2.61104e+07,-81.5931
2.61728e+07,-80.5638
2.62351e+07,-80.3872
2.62975e+07,-80.2141
2.63599e+07,-78.5169
2.64222e+07,-78.5954
2.64846e+07,-79.9698
2.6547e+07,-81.8182
2.66094e+07,-80.0253
2.66718e+07,-78.7946
2.67341e+07,-81.8407
2.67965e+07,-80.0529
2.68589e+07,-80.6121
2.69212e+07,-79.8131
2.69836e+07,-83.3804
2.7046e+07,-80.405
2.71084e+07,-82.3601
2.71708e+07,-79.0561
2.72331e+07,-81.4253
2.72955e+07,-80.7518
2.73579e+07,-81.6354
2.74202e+07,-82.2988
2.74826e+07,-80.1265
2.7545e+07,-81.1872
2.76074e+07,-81.3809
2.76698e+07,-83.7284
2.77321e+07,-79.1051
