f, gain
2.74826e+07,-29.9738
2.7545e+07,-29.9906
2.76074e+07,-30.0066
2.76698e+07,-30.0215
2.77321e+07,-30.0415
2.77945e+07,-30.0523
2.78569e+07,-30.0716
2.79192e+07,-30.089
2.79816e+07,-30.1003
2.8044e+07,-30.1152
2.81064e+07,-30.1385
2.81688e+07,-30.1552
2.82311e+07,-30.168
2.82935e+07,-30.1852
2.83559e+07,-30.1982
2.84182e+07,-30.215
2.84806e+07,-30.233
2.8543e+07,-30.2498
2.86054e+07,-30.2643
2.86678e+07,-30.2794
2.87301e+07,-30.2917
2.87925e+07,-30.3124
2.88549e+07,-30.326
2.89172e+07,-30.3396
2.89796e+07,-30.3583
2.9042e+07,-30.3715
2.91044e+07,-30.3856
2.91668e+07,-30.4017
2.92291e+07,-30.4194
2.92915e+07,-30.4338
2.93539e+07,-30.4472
2.94162e+07,-30.4679
2.94786e+07,-30.4794
2.9541e+07,-30.4958
2.96034e+07,-30.5056
2.96658e+07,-30.524
2.97281e+07,-30.5345
2.97905e+07,-30.5537
2.98529e+07,-30.5656
2.99152e+07,-30.5813
2.99776e+07,-30.5984
3.004e+07,-30.6135
3.01024e+07,-30.6242
3.01648e+07,-30.6423
3.02271e+07,-30.651
3.02895e+07,-30.6695
3.03519e+07,-30.6873
3.04142e+07,-30.6997
3.04766e+07,-30.7125
3.0539e+07,-30.7258
3.06014e+07,-30.7426
3.06638e+07,-30.7613
3.07261e+07,-30.7734
3.07885e+07,-30.789
3.08509e+07,-30.8072
3.09132e+07,-30.8271
3.09756e+07,-30.8415
3.1038e+07,-30.8562
3.11004e+07,-30.8743
3.11628e+07,-30.892
3.12251e+07,-30.9067
3.12875e+07,-30.9186
3.13499e+07,-30.9392
3.14122e+07,-30.9541
3.14746e+07,-30.9702
3.1537e+07,-30.9849
3.15994e+07,-30.9958
3.16618e+07,-31.0123
3.17241e+07,-31.0302
3.17865e+07,-31.0396
3.18489e+07,-31.0536
3.19112e+07,-31.0683
3.19736e+07,-31.0824
3.2036e+07,-31.0906
3.20984e+07,-31.0999
3.21608e+07,-31.116
3.22231e+07,-31.1285
3.22855e+07,-31.1394
3.23479e+07,-31.1514
3.24102e+07,-31.1634
3.24726e+07,-31.1738
3.2535e+07,-31.1929
3.25974e+07,-31.2024
3.26598e+07,-31.2157
3.27221e+07,-31.2241
3.27845e+07,-31.2448
3.28469e+07,-31.2489
3.29092e+07,-31.2751
3.29716e+07,-31.2869
3.3034e+07,-31.2993
3.30964e+07,-31.3116
3.31588e+07,-31.3251
3.32211e+07,-31.3386
3.32835e+07,-31.3501
3.33459e+07,-31.359
3.34082e+07,-31.3773
3.34706e+07,-31.3832
3.3533e+07,-31.3974
3.35954e+07,-31.4079
3.36578e+07,-31.4196
3.37201e+07,-31.4298
3.37825e+07,-31.4386
3.38449e+07,-31.4454
3.39072e+07,-31.4602
3.39696e+07,-31.467
3.4032e+07,-31.4814
3.40944e+07,-31.4885
3.41568e+07,-31.5019
3.42191e+07,-31.5144
3.42815e+07,-31.5228
3.43439e+07,-31.5315
3.44062e+07,-31.5386
3.44686e+07,-31.5518
3.4531e+07,-31.5635
3.45934e+07,-31.5688
3.46558e+07,-31.5822
3.47181e+07,-31.5976
3.47805e+07,-31.6098
3.48429e+07,-31.6153
3.49052e+07,-31.631
3.49676e+07,-31.6461
3.503e+07,-31.655
3.50924e+07,-31.4476
3.51548e+07,-31.6634
3.52171e+07,-31.6753
