f,loop
1.93115e+07,-69.2324
1.93739e+07,-69.2054
1.94362e+07,-69.2048
1.94986e+07,-69.2143
1.9561e+07,-69.224
1.96234e+07,-69.2321
1.96858e+07,-69.1584
1.97481e+07,-69.1986
1.98105e+07,-69.2199
1.98729e+07,-69.2207
1.99352e+07,-69.2157
1.99976e+07,-69.1741
2.006e+07,-69.1946
2.01224e+07,-69.1739
2.01848e+07,-69.1839
2.02471e+07,-69.2731
2.03095e+07,-69.1966
2.03719e+07,-69.208
2.04342e+07,-69.1292
2.04966e+07,-69.1202
2.0559e+07,-69.2132
2.06214e+07,-69.1473
2.06838e+07,-69.1311
2.07461e+07,-69.1425
2.08085e+07,-69.0844
2.08709e+07,-69.1362
2.09332e+07,-69.1331
2.09956e+07,-69.1431
2.1058e+07,-69.095
2.11204e+07,-69.1093
2.11828e+07,-69.1003
2.12451e+07,-69.18
2.13075e+07,-69.1346
2.13699e+07,-69.0334
2.14322e+07,-69.14
2.14946e+07,-69.0301
2.1557e+07,-69.0773
2.16194e+07,-69.0182
2.16818e+07,-69.1014
2.17441e+07,-69.1301
2.18065e+07,-69.0981
2.18689e+07,-69.0863
2.19312e+07,-69.0371
2.19936e+07,-69.0541
2.2056e+07,-69.018
2.21184e+07,-69.002
2.21808e+07,-69.0765
2.22431e+07,-68.9987
2.23055e+07,-69.0948
2.23679e+07,-69.0326
2.24302e+07,-69.0095
2.24926e+07,-68.9394
2.2555e+07,-69.0434
2.26174e+07,-68.9788
2.26798e+07,-68.9444
2.27421e+07,-69.0571
2.28045e+07,-69.0067
2.28669e+07,-68.9111
2.29292e+07,-69.0033
2.29916e+07,-68.8668
2.3054e+07,-68.98
2.31164e+07,-68.967
2.31788e+07,-68.9996
2.32411e+07,-69.0452
2.33035e+07,-68.9549
2.33659e+07,-68.986
2.34282e+07,-68.9133
2.34906e+07,-68.9528
2.3553e+07,-69.0168
2.36154e+07,-68.9197
2.36778e+07,-69.0249
2.37401e+07,-68.9889
2.38025e+07,-68.9801
2.38649e+07,-68.9301
2.39272e+07,-68.937
