f,gain
2.66094e+07,-15.0845
2.66718e+07,-15.1274
2.67341e+07,-15.1753
2.67965e+07,-15.2177
2.68589e+07,-15.2666
2.69212e+07,-15.3105
2.69836e+07,-15.362
2.7046e+07,-15.4055
2.71084e+07,-15.4484
2.71708e+07,-15.4957
2.72331e+07,-15.544
2.72955e+07,-15.5882
2.73579e+07,-15.6347
2.74202e+07,-15.675
2.74826e+07,-15.7233
2.7545e+07,-15.7692
2.76074e+07,-15.8127
2.76698e+07,-15.86
2.77321e+07,-15.9037
2.77945e+07,-15.9487
2.78569e+07,-15.9943
2.79192e+07,-16.0392
2.79816e+07,-16.079
2.8044e+07,-16.1273
2.81064e+07,-16.171
2.81688e+07,-16.2176
2.82311e+07,-16.2577
2.82935e+07,-16.3038
2.83559e+07,-16.3456
2.84182e+07,-16.395
2.84806e+07,-16.436
2.8543e+07,-16.4815
2.86054e+07,-16.5262
2.86678e+07,-16.568
2.87301e+07,-16.6144
2.87925e+07,-16.6599
2.88549e+07,-16.7016
2.89172e+07,-16.7515
2.89796e+07,-16.7996
2.9042e+07,-16.8443
2.91044e+07,-16.8941
2.91668e+07,-16.9444
2.92291e+07,-17.0033
2.92915e+07,-17.0511
2.93539e+07,-17.118
2.94162e+07,-17.1817
2.94786e+07,-17.2566
2.9541e+07,-17.3354
2.96034e+07,-17.4256
2.96658e+07,-17.5274
2.97281e+07,-17.6474
2.97905e+07,-17.778
2.98529e+07,-17.9346
2.99152e+07,-18.1053
2.99776e+07,-18.2968
3.004e+07,-18.5062
3.01024e+07,-18.7188
3.01648e+07,-18.9163
3.02271e+07,-19.1163
3.02895e+07,-19.2953
3.03519e+07,-19.4301
3.04142e+07,-19.53
3.04766e+07,-19.6131
3.0539e+07,-19.6574
3.06014e+07,-19.6894
3.06638e+07,-19.6959
3.07261e+07,-19.707
3.07885e+07,-19.7055
3.08509e+07,-19.7066
3.09132e+07,-19.7083
3.09756e+07,-19.7062
3.1038e+07,-19.7081
3.11004e+07,-19.7134
3.11628e+07,-19.7229
3.12251e+07,-19.7344
3.12875e+07,-19.7462
3.13499e+07,-19.7611
3.14122e+07,-19.7819
3.14746e+07,-19.7995
3.1537e+07,-19.8226
3.15994e+07,-19.8471
3.16618e+07,-19.8754
3.17241e+07,-19.9
3.17865e+07,-19.9286
3.18489e+07,-19.9623
3.19112e+07,-19.9837
3.19736e+07,-20.0254
3.2036e+07,-20.0516
3.20984e+07,-20.0912
3.21608e+07,-20.1227
3.22231e+07,-20.1568
3.22855e+07,-20.193
3.23479e+07,-20.2283
3.24102e+07,-20.2694
3.24726e+07,-20.3068
3.2535e+07,-20.3423
3.25974e+07,-20.3805
3.26598e+07,-20.4213
3.27221e+07,-20.4469
3.27845e+07,-20.4919
3.28469e+07,-20.5314
3.29092e+07,-20.5616
3.29716e+07,-20.6107
3.3034e+07,-20.6482
3.30964e+07,-20.6837
3.31588e+07,-20.7228
3.32211e+07,-20.7629
3.32835e+07,-20.7927
3.33459e+07,-20.8358
3.34082e+07,-20.8699
3.34706e+07,-20.916
3.3533e+07,-20.9469
3.35954e+07,-20.9897
3.36578e+07,-21.0265
3.37201e+07,-21.0668
3.37825e+07,-21.1094
3.38449e+07,-21.1408
3.39072e+07,-21.1793
3.39696e+07,-21.2114
3.4032e+07,-21.2561
3.40944e+07,-21.2973
3.41568e+07,-21.3372
3.42191e+07,-21.3759
3.42815e+07,-21.4176
3.43439e+07,-21.455
3.44062e+07,-21.4962
3.44686e+07,-21.529
3.4531e+07,-21.571
3.45934e+07,-21.6056
3.46558e+07,-21.647
3.47181e+07,-21.6843
3.47805e+07,-21.726
3.48429e+07,-21.7641
3.49052e+07,-21.8008
3.49676e+07,-21.8442
3.503e+07,-21.8791
3.50924e+07,-21.6883
3.51548e+07,-21.9356
