f,noise
2.68589e+07,-86.219
2.69212e+07,-86.1921
2.69836e+07,-85.5685
2.7046e+07,-86.0416
2.71084e+07,-86.9506
2.71708e+07,-86.654
2.72331e+07,-85.6193
2.72955e+07,-84.923
2.73579e+07,-86.0658
2.74202e+07,-83.9771
2.74826e+07,-85.5814
2.7545e+07,-83.428
2.76074e+07,-84.4173
2.76698e+07,-85.4572
2.77321e+07,-85.3945
2.77945e+07,-86.6685
2.78569e+07,-87.6726
2.79192e+07,-87.7522
2.79816e+07,-84.7124
2.8044e+07,-84.9615
2.81064e+07,-84.476
2.81688e+07,-86.8727
2.82311e+07,-86.2747
2.82935e+07,-86.4935
2.83559e+07,-84.2598
2.84182e+07,-84.7128
2.84806e+07,-84.5944
2.8543e+07,-86.5765
2.86054e+07,-85.8881
2.86678e+07,-86.5949
2.87301e+07,-85.4963
2.87925e+07,-84.9446
2.88549e+07,-83.956
2.89172e+07,-85.1754
2.89796e+07,-86.6788
2.9042e+07,-85.984
2.91044e+07,-85.2761
2.91668e+07,-83.5327
2.92291e+07,-87.0085
2.92915e+07,-83.8763
2.93539e+07,-85.6404
2.94162e+07,-85.4937
2.94786e+07,-85.5348
2.9541e+07,-85.1084
2.96034e+07,-86.6275
2.96658e+07,-85.0271
2.97281e+07,-86.9279
2.97905e+07,-84.5685
2.98529e+07,-86.5353
2.99152e+07,-84.7603
2.99776e+07,-85.9042
3.004e+07,-85.32
3.01024e+07,-86.8933
3.01648e+07,-84.8308
3.02271e+07,-86.3889
3.02895e+07,-83.4554
3.03519e+07,-86.0354
3.04142e+07,-85.3773
3.04766e+07,-85.5041
3.0539e+07,-82.4198
3.06014e+07,-85.8386
3.06638e+07,-86.4814
3.07261e+07,-85.5934
3.07885e+07,-82.7452
3.08509e+07,-86.3498
3.09132e+07,-84.606
3.09756e+07,-84.8995
3.1038e+07,-86.1755
3.11004e+07,-84.9636
3.11628e+07,-85.2736
3.12251e+07,-86.1811
3.12875e+07,-84.8861
3.13499e+07,-86.5542
3.14122e+07,-85.581
3.14746e+07,-85.6156
3.1537e+07,-86.0566
3.15994e+07,-86.1878
3.16618e+07,-85.9487
3.17241e+07,-84.8457
3.17865e+07,-86.6063
3.18489e+07,-86.7256
3.19112e+07,-85.6973
3.19736e+07,-85.9568
3.2036e+07,-85.6662
3.20984e+07,-86.2976
3.21608e+07,-85.7053
3.22231e+07,-84.3664
3.22855e+07,-85.1797
3.23479e+07,-86.7977
3.24102e+07,-86.9197
3.24726e+07,-85.7924
3.2535e+07,-86.5909
3.25974e+07,-84.8619
3.26598e+07,-83.828
3.27221e+07,-86.3858
3.27845e+07,-87.9629
3.28469e+07,-86.0791
3.29092e+07,-87.4114
3.29716e+07,-84.3446
3.3034e+07,-85.7757
3.30964e+07,-85.6182
3.31588e+07,-83.3787
3.32211e+07,-85.9559
3.32835e+07,-86.0154
3.33459e+07,-86.2893
3.34082e+07,-86.2367
3.34706e+07,-85.067
3.3533e+07,-87.3199
3.35954e+07,-87.5203
3.36578e+07,-87.084
3.37201e+07,-85.3496
3.37825e+07,-83.9664
3.38449e+07,-86.2899
3.39072e+07,-86.0537
3.39696e+07,-86.1242
3.4032e+07,-85.6123
3.40944e+07,-86.0139
3.41568e+07,-87.1227
3.42191e+07,-85.1168
3.42815e+07,-86.1695
3.43439e+07,-86.5193
3.44062e+07,-86.8083
3.44686e+07,-84.7141
3.4531e+07,-85.0978
3.45934e+07,-84.9933
3.46558e+07,-86.8382
3.47181e+07,-85.8424
3.47805e+07,-86.6023
3.48429e+07,-85.0697
3.49052e+07,-84.0094
3.49676e+07,-85.0773
3.503e+07,-84.8908
3.50924e+07,-85.6198
3.51548e+07,-84.0602
3.52171e+07,-86.9164
3.52795e+07,-84.3802
3.53419e+07,-86.6705
3.54042e+07,-84.9689
3.54666e+07,-85.1039
3.5529e+07,-85.0166
3.55914e+07,-86.7642
3.56538e+07,-86.2815
3.57161e+07,-85.4585
3.57785e+07,-85.1276
3.58409e+07,-83.9037
3.59032e+07,-83.8556
3.59656e+07,-84.5963
3.6028e+07,-84.8793
3.60904e+07,-85.3545
3.61528e+07,-85.5722
3.62151e+07,-85.207
3.62775e+07,-85.1973
3.63399e+07,-86.0067
3.64022e+07,-85.8714
3.64646e+07,-85.3663
3.6527e+07,-86.3621
3.65894e+07,-85.8241
3.66518e+07,-84.6294
3.67141e+07,-84.8308
3.67765e+07,-84.9504
3.68389e+07,-85.0812
3.69012e+07,-84.711
3.69636e+07,-85.5835
3.7026e+07,-85.1864
3.70884e+07,-85.8879
3.71508e+07,-86.3314
3.72131e+07,-85.4515
3.72755e+07,-86.5882
3.73379e+07,-84.5165
3.74002e+07,-86.1207
3.74626e+07,-83.923
3.7525e+07,-84.7383
3.75874e+07,-85.0315
3.76498e+07,-86.9535
3.77121e+07,-84.5461
3.77745e+07,-85.5521
3.78369e+07,-85.1346
3.78992e+07,-85.2559
3.79616e+07,-87.2276
3.8024e+07,-87.9961
3.80864e+07,-83.7079
3.81488e+07,-87.1365
3.82111e+07,-83.1633
3.82735e+07,-86.2628
3.83359e+07,-85.7218
3.83982e+07,-86.4969
3.84606e+07,-85.8309
3.8523e+07,-87.2077
3.85854e+07,-85.4954
3.86478e+07,-86.2022
3.87101e+07,-86.479
3.87725e+07,-86.5758
3.88349e+07,-86.2988
3.88972e+07,-86.2002
3.89596e+07,-85.8593
3.9022e+07,-86.4138
3.90844e+07,-84.9263
3.91468e+07,-88.1747
3.92091e+07,-87.2408
3.92715e+07,-85.3945
3.93339e+07,-86.9788
3.93962e+07,-84.5253
3.94586e+07,-86.1093
3.9521e+07,-84.1652
3.95834e+07,-86.2542
3.96458e+07,-85.9483
3.97081e+07,-85.4132
3.97705e+07,-85.8844
3.98329e+07,-87.3316
3.98952e+07,-85.0285
3.99576e+07,-87.2274
4.002e+07,-85.4941
4.00824e+07,-86.1919
4.01448e+07,-85.2517
4.02071e+07,-86.6599
4.02695e+07,-87.3395
4.03319e+07,-86.8804
4.03942e+07,-86.9702
4.04566e+07,-87.5013
4.0519e+07,-86.5057
4.05814e+07,-84.6528
4.06438e+07,-84.901
4.07061e+07,-85.3626
4.07685e+07,-86.4562
4.08309e+07,-84.9894
4.08932e+07,-86.6635
4.09556e+07,-85.9578
4.1018e+07,-87.4083
4.10804e+07,-86.5189
4.11428e+07,-84.5549
4.12051e+07,-87.3781
4.12675e+07,-85.1323
4.13299e+07,-87.3271
4.13922e+07,-86.4016
4.14546e+07,-86.3064
4.1517e+07,-85.4113
4.15794e+07,-86.5834
4.16418e+07,-84.6189
4.17041e+07,-86.9912
4.17665e+07,-86.5034
4.18289e+07,-86.9675
4.18912e+07,-87.5415
4.19536e+07,-84.6362
4.2016e+07,-84.533
4.20784e+07,-85.5854
4.21408e+07,-85.5953
4.22031e+07,-87.0779
4.22655e+07,-85.7217
4.23279e+07,-87.5175
4.23902e+07,-86.6639
4.24526e+07,-87.8073
4.2515e+07,-85.5391
4.25774e+07,-87.9483
4.26398e+07,-86.6991
4.27021e+07,-85.1786
4.27645e+07,-85.2798
4.28269e+07,-84.7284
4.28892e+07,-86.6211
4.29516e+07,-86.9237
4.3014e+07,-85.0751
4.30764e+07,-85.3526
4.31388e+07,-86.7731
4.32011e+07,-86.6157
4.32635e+07,-85.2322
4.33259e+07,-85.0128
4.33882e+07,-86.2364
4.34506e+07,-88.367
4.3513e+07,-88.1994
4.35754e+07,-85.8729
4.36378e+07,-86.4746
4.37001e+07,-86.1714
4.37625e+07,-85.3583
4.38249e+07,-85.8754
4.38872e+07,-86.0542
4.39496e+07,-86.3906
4.4012e+07,-86.4423
4.40744e+07,-85.9789
4.41368e+07,-86.5786
4.41991e+07,-86.323
4.42615e+07,-84.3462
4.43239e+07,-87.1729
4.43862e+07,-87.5404
4.44486e+07,-87.5725
4.4511e+07,-86.9542
4.45734e+07,-84.0967
4.46358e+07,-85.4969
4.46981e+07,-86.1787
4.47605e+07,-86.4094
4.48229e+07,-87.1771
4.48852e+07,-85.6088
4.49476e+07,-85.6115
4.501e+07,-87.1408
4.50724e+07,-85.2097
4.51348e+07,-87.8355
4.51971e+07,-86.4102
4.52595e+07,-85.8653
4.53219e+07,-86.3567
4.53842e+07,-87.416
4.54466e+07,-88.1094
4.5509e+07,-87.5903
4.55714e+07,-87.5203
